"number","category","subcategory"
"INC0292233","Degraded Service",""
"INC0292232","Degraded Service",""
"INC0292231","Degraded Service",""
"INC0292230","Degraded Service",""
"INC0292229","Degraded Service",""
"INC0292228","Degraded Service",""
"INC0292227","Degraded Service",""
"INC0292226","Degraded Service",""
"INC0292225","Degraded Service",""
"INC0292224","Degraded Service",""
"INC0292223","Degraded Service",""
"INC0292222","Degraded Service",""
"INC0292221","Degraded Service",""
"INC0292220","Degraded Service",""
"INC0292219","Degraded Service",""
"INC0292218","Degraded Service",""
"INC0292217","Degraded Service",""
"INC0292216","Degraded Service",""
"INC0292215","Degraded Service",""
"INC0292214","Degraded Service",""
"INC0292213","Degraded Service",""
"INC0292212","Degraded Service",""
"INC0292211","Degraded Service",""
"INC0292210","Degraded Service",""
"INC0292209","Degraded Service",""
"INC0292208","Degraded Service",""
"INC0292207","Degraded Service",""
"INC0292206","Degraded Service",""
"INC0292205","Degraded Service",""
"INC0292204","Degraded Service",""
"INC0292203","Degraded Service",""
"INC0292202","Degraded Service",""
"INC0292201","Degraded Service",""
"INC0292200","Degraded Service",""
"INC0292199","Degraded Service",""
"INC0292198","Degraded Service",""
"INC0292197","Degraded Service",""
"INC0292196","Degraded Service",""
"INC0292195","Degraded Service",""
"INC0292194","Degraded Service",""
"INC0292193","Degraded Service",""
"INC0292192","Degraded Service",""
"INC0292191","Degraded Service",""
"INC0292190","Degraded Service",""
"INC0292189","Degraded Service",""
"INC0292188","Degraded Service",""
"INC0292187","Degraded Service",""
"INC0292186","Assistance",""
"INC0292185","Assistance",""
"INC0292184","Degraded Service",""
"INC0292183","Assistance",""
"INC0292182","Assistance",""
"INC0292181","Assistance",""
"INC0292180","Degraded Service",""
"INC0292179","Degraded Service",""
"INC0292178","Degraded Service",""
"INC0292177","Degraded Service",""
"INC0292176","BitLocker",""
"INC0292175","Degraded Service",""
"INC0292174","Degraded Service",""
"INC0292173","Degraded Service",""
"INC0292172","Degraded Service",""
"INC0292171","Degraded Service",""
"INC0292170","Security","Mail related"
"INC0292169","Degraded Service",""
"INC0292168","Degraded Service",""
"INC0292167","Degraded Service",""
"INC0292166","Degraded Service",""
"INC0292165","Degraded Service",""
"INC0292164","Access rights",""
"INC0292163","Degraded Service",""
"INC0292162","Degraded Service",""
"INC0292161","Degraded Service",""
"INC0292160","Degraded Service",""
"INC0292159","Information",""
"INC0292158","Degraded Service",""
"INC0292157","Degraded Service",""
"INC0292156","Degraded Service",""
"INC0292155","Degraded Service",""
"INC0292154","Degraded Service",""
"INC0292153","Degraded Service",""
"INC0292152","Degraded Service",""
"INC0292151","Degraded Service",""
"INC0292150","Degraded Service",""
"INC0292149","Degraded Service",""
"INC0292148","Degraded Service",""
"INC0292147","Degraded Service",""
"INC0292146","Degraded Service",""
"INC0292145","Degraded Service",""
"INC0292144","Degraded Service",""
"INC0292143","Degraded Service",""
"INC0292142","Account Locked",""
"INC0292141","Degraded Service",""
"INC0292140","Degraded Service",""
"INC0292139","Degraded Service",""
"INC0292138","Assistance",""
"INC0292137","Degraded Service",""
"INC0292136","Degraded Service",""
"INC0292135","Degraded Service",""
"INC0292134","Degraded Service",""
"INC0292133","Degraded Service",""
"INC0292132","Degraded Service",""
"INC0292131","Access rights",""
"INC0292130","Assistance",""
"INC0292129","Degraded Service",""
"INC0292128","Assistance",""
"INC0292127","Information",""
"INC0292126","Degraded Service",""
"INC0292125","Degraded Service",""
"INC0292124","Degraded Service",""
"INC0292123","Degraded Service",""
"INC0292122","Degraded Service",""
"INC0292121","Degraded Service",""
"INC0292120","Assistance",""
"INC0292119","Degraded Service",""
"INC0292118","Degraded Service",""
"INC0292117","Security",""
"INC0292116","Hardware",""
"INC0292115","Degraded Service",""
"INC0292114","Assistance",""
"INC0292113","Degraded Service",""
"INC0292112","Degraded Service",""
"INC0292111","Degraded Service",""
"INC0292110","Degraded Service",""
"INC0292109","Degraded Service",""
"INC0292108","Assistance",""
"INC0292107","Degraded Service",""
"INC0292105","Degraded Service",""
"INC0292104","Degraded Service",""
"INC0292102","Hardware issue","Disk"
"INC0292101","Degraded Service",""
"INC0292100","Degraded Service",""
"INC0292099","Degraded Service",""
"INC0292098","Degraded Service",""
"INC0292097","Assistance",""
"INC0292096","Hardware",""
"INC0292094","Information",""
"INC0292093","Complaint",""
"INC0292092","Degraded Service",""
"INC0292091","Degraded Service",""
"INC0292090","Degraded Service",""
"INC0292089","Degraded Service",""
"INC0292088","Degraded Service",""
"INC0292087","Degraded Service",""
"INC0292086","Hardware",""
"INC0292085","Degraded Service",""
"INC0292084","Assistance",""
"INC0292083","Degraded Service",""
"INC0292082","BitLocker",""
"INC0292081","Degraded Service",""
"INC0292080","Degraded Service",""
"INC0292079","Degraded Service",""
"INC0292078","Degraded Service",""
"INC0292077","Degraded Service",""
"INC0292076","Degraded Service",""
"INC0292075","Data loss / corruption",""
"INC0292074","Assistance",""
"INC0292073","Degraded Service",""
"INC0292072","Degraded Service",""
"INC0292071","Degraded Service",""
"INC0292070","Assistance",""
"INC0292069","Hardware",""
"INC0292068","Degraded Service",""
"INC0292067","Degraded Service",""
"INC0292066","Degraded Service",""
"INC0292065","Degraded Service",""
"INC0292064","Degraded Service",""
"INC0292063","Degraded Service",""
"INC0292062","Hardware",""
"INC0292061","Degraded Service",""
"INC0292060","Degraded Service",""
"INC0292059","Assistance",""
"INC0292058","Degraded Service",""
"INC0292057","Degraded Service",""
"INC0292056","Hardware",""
"INC0292055","Degraded Service",""
"INC0292054","Degraded Service",""
"INC0292053","Degraded Service",""
"INC0292052","Degraded Service",""
"INC0292051","Degraded Service",""
"INC0292050","Access rights",""
"INC0292049","Degraded Service",""
"INC0292048","Degraded Service",""
"INC0292047","Account Locked",""
"INC0292046","Assistance",""
"INC0292045","Degraded Service",""
"INC0292044","Degraded Service",""
"INC0292043","Degraded Service",""
"INC0292042","Degraded Service",""
"INC0292041","Degraded Service",""
"INC0292040","Degraded Service",""
"INC0292039","Degraded Service",""
"INC0292038","Degraded Service",""
"INC0292037","Degraded Service",""
"INC0292036","Hardware",""
"INC0292035","Degraded Service",""
"INC0292034","Degraded Service",""
"INC0292033","Account Locked",""
"INC0292032","Hardware",""
"INC0292031","Degraded Service",""
"INC0292030","Degraded Service",""
"INC0292029","Assistance",""
"INC0292028","Degraded Service",""
"INC0292027","Degraded Service",""
"INC0292026","Degraded Service",""
"INC0292025","Hardware",""
"INC0292024","Degraded Service",""
"INC0292023","Assistance",""
"INC0292022","Degraded Service",""
"INC0292021","Access rights",""
"INC0292020","Hardware",""
"INC0292019","Degraded Service",""
"INC0292018","Degraded Service",""
"INC0292017","Degraded Service",""
"INC0292016","Degraded Service",""
"INC0292015","Degraded Service",""
"INC0292014","Degraded Service",""
"INC0292013","Degraded Service",""
"INC0292012","Degraded Service",""
"INC0292011","Hardware issue",""
"INC0292010","Assistance",""
"INC0292009","Assistance",""
"INC0292008","Assistance",""
"INC0292007","Degraded Service",""
"INC0292006","Assistance",""
"INC0292005","Assistance",""
"INC0292004","Assistance",""
"INC0292003","Assistance",""
"INC0292002","Degraded Service",""
"INC0292001","Hardware",""
"INC0292000","Data loss / corruption",""
"INC0291999","Assistance",""
"INC0291998","Degraded Service",""
"INC0291997","Account Locked",""
"INC0291996","BitLocker",""
"INC0291995","Access rights",""
"INC0291991","Degraded Service",""
"INC0291990","Assistance",""
"INC0291989","BitLocker",""
"INC0291988","Degraded Service",""
"INC0291987","Degraded Service",""
"INC0291986","Account Locked",""
"INC0291985","Degraded Service",""
"INC0291983","Account Locked",""
"INC0291982","Assistance",""
"INC0291981","Degraded Service",""
"INC0291980","Password loss or expired",""
"INC0291978","Degraded Service",""
"INC0291977","Degraded Service",""
"INC0291976","Degraded Service",""
"INC0291975","Hardware",""
"INC0291974","Assistance",""
"INC0291972","Degraded Service",""
"INC0291971","Assistance",""
"INC0291970","Data loss / corruption",""
"INC0291969","Degraded Service",""
"INC0291968","Degraded Service",""
"INC0291967","Hardware issue",""
"INC0291966","Assistance",""
"INC0291965","Assistance",""
"INC0291964","Degraded Service",""
"INC0291963","Degraded Service",""
"INC0291962","Assistance",""
"INC0291961","Assistance",""
"INC0291960","Degraded Service",""
"INC0291959","Hardware",""
"INC0291958","Assistance",""
"INC0291957","Hardware",""
"INC0291956","Assistance",""
"INC0291955","Degraded Service",""
"INC0291954","Hardware",""
"INC0291953","Degraded Service",""
"INC0291952","Degraded Service",""
"INC0291951","Degraded Service",""
"INC0291950","Assistance",""
"INC0291949","Assistance",""
"INC0291948","Information",""
"INC0291947","Degraded Service",""
"INC0291946","Assistance",""
"INC0291945","Assistance",""
"INC0291944","Degraded Service",""
"INC0291943","Degraded Service",""
"INC0291942","Degraded Service",""
"INC0291941","Degraded Service",""
"INC0291940","Hardware issue",""
"INC0291939","Degraded Service",""
"INC0291938","Degraded Service",""
"INC0291937","Degraded Service",""
"INC0291936","Degraded Service",""
"INC0291935","Assistance",""
"INC0291934","Degraded Service",""
"INC0291933","Assistance",""
"INC0291932","Assistance",""
"INC0291931","Account Locked",""
"INC0291930","Degraded Service",""
"INC0291929","Degraded Service",""
"INC0291928","Assistance",""
"INC0291927","Degraded Service",""
"INC0291926","Hardware issue",""
"INC0291925","Degraded Service",""
"INC0291924","Hardware",""
"INC0291923","Degraded Service",""
"INC0291922","Degraded Service",""
"INC0291921","Degraded Service",""
"INC0291920","Degraded Service",""
"INC0291919","Degraded Service",""
"INC0291918","Degraded Service",""
"INC0291917","Degraded Service",""
"INC0291916","Degraded Service",""
"INC0291915","Degraded Service",""
"INC0291914","Degraded Service",""
"INC0291913","Degraded Service",""
"INC0291912","Assistance",""
"INC0291911","Degraded Service",""
"INC0291910","Assistance",""
"INC0291909","Degraded Service",""
"INC0291908","Degraded Service",""
"INC0291907","Degraded Service",""
"INC0291906","Degraded Service",""
"INC0291905","Assistance",""
"INC0291904","Hardware",""
"INC0291903","Degraded Service",""
"INC0291902","Degraded Service",""
"INC0291901","Degraded Service",""
"INC0291900","Assistance",""
"INC0291899","Degraded Service",""
"INC0291898","Degraded Service",""
"INC0291897","Assistance",""
"INC0291896","Degraded Service",""
"INC0291895","Degraded Service",""
"INC0291894","Degraded Service",""
"INC0291893","Degraded Service",""
"INC0291892","Degraded Service",""
"INC0291891","Degraded Service",""
"INC0291890","Degraded Service",""
"INC0291889","Degraded Service",""
"INC0291888","Degraded Service",""
"INC0291887","Degraded Service",""
"INC0291886","Degraded Service",""
"INC0291885","Degraded Service",""
"INC0291884","Degraded Service",""
"INC0291883","Degraded Service",""
"INC0291882","Degraded Service",""
"INC0291881","Degraded Service",""
"INC0291880","Degraded Service",""
"INC0291879","Degraded Service",""
"INC0291878","Degraded Service",""
"INC0291877","Degraded Service",""
"INC0291876","Degraded Service",""
"INC0291875","Degraded Service",""
"INC0291874","Degraded Service",""
"INC0291873","Degraded Service",""
"INC0291872","Degraded Service",""
"INC0291871","Degraded Service",""
"INC0291870","Degraded Service",""
"INC0291869","Degraded Service",""
"INC0291868","Degraded Service",""
"INC0291867","Degraded Service",""
"INC0291866","Degraded Service",""
"INC0291865","Degraded Service",""
"INC0291864","Degraded Service",""
"INC0291863","Degraded Service",""
"INC0291862","Degraded Service",""
"INC0291861","Degraded Service",""
"INC0291860","Degraded Service",""
"INC0291859","Degraded Service",""
"INC0291858","Degraded Service",""
"INC0291857","Degraded Service",""
"INC0291856","Degraded Service",""
"INC0291855","Degraded Service",""
"INC0291854","Degraded Service",""
"INC0291853","Degraded Service",""
"INC0291852","Degraded Service",""
"INC0291851","Degraded Service",""
"INC0291850","Degraded Service",""
"INC0291849","Degraded Service",""
"INC0291848","Degraded Service",""
"INC0291847","Degraded Service",""
"INC0291846","Degraded Service",""
"INC0291845","Degraded Service",""
"INC0291844","Degraded Service",""
"INC0291843","Degraded Service",""
"INC0291842","Degraded Service",""
"INC0291841","Degraded Service",""
"INC0291840","Degraded Service",""
"INC0291839","Degraded Service",""
"INC0291838","Degraded Service",""
"INC0291837","Degraded Service",""
"INC0291836","Degraded Service",""
"INC0291835","Degraded Service",""
"INC0291834","Degraded Service",""
"INC0291833","Degraded Service",""
"INC0291832","Information",""
"INC0291831","Degraded Service",""
"INC0291830","Degraded Service",""
"INC0291829","Degraded Service",""
"INC0291828","Degraded Service",""
"INC0291827","Degraded Service",""
"INC0291826","Degraded Service",""
"INC0291825","Degraded Service",""
"INC0291824","Degraded Service",""
"INC0291823","Degraded Service",""
"INC0291822","Degraded Service",""
"INC0291821","Degraded Service",""
"INC0291820","Degraded Service",""
"INC0291819","Degraded Service",""
"INC0291818","Degraded Service",""
"INC0291816","Assistance",""
"INC0291817","Degraded Service",""
"INC0291815","Degraded Service",""
"INC0291814","Degraded Service",""
"INC0291813","Degraded Service",""
"INC0291812","Assistance",""
"INC0291811","Degraded Service",""
"INC0291810","Degraded Service",""
"INC0291809","Degraded Service",""
"INC0291808","Degraded Service",""
"INC0291807","Degraded Service",""
"INC0291806","Degraded Service",""
"INC0291805","Information",""
"INC0291804","Degraded Service",""
"INC0291803","Degraded Service",""
"INC0291802","Degraded Service",""
"INC0291801","Degraded Service",""
"INC0291800","Degraded Service",""
"INC0291799","Degraded Service",""
"INC0291798","Degraded Service",""
"INC0291797","Degraded Service",""
"INC0291796","Degraded Service",""
"INC0291795","Degraded Service",""
"INC0291794","Degraded Service",""
"INC0291793","Degraded Service",""
"INC0291792","Degraded Service",""
"INC0291791","Information",""
"INC0291790","Degraded Service",""
"INC0291789","Degraded Service",""
"INC0291788","Degraded Service",""
"INC0291787","Degraded Service",""
"INC0291786","Degraded Service",""
"INC0291785","Degraded Service",""
"INC0291784","Account Locked",""
"INC0291783","Degraded Service",""
"INC0291782","Degraded Service",""
"INC0291781","Degraded Service",""
"INC0291780","Degraded Service",""
"INC0291779","Degraded Service",""
"INC0291778","Access rights",""
"INC0291777","Degraded Service",""
"INC0291776","Degraded Service",""
"INC0291775","Degraded Service",""
"INC0291774","Degraded Service",""
"INC0291773","Degraded Service",""
"INC0291772","Degraded Service",""
"INC0291771","Degraded Service",""
"INC0291770","Hardware",""
"INC0291769","Degraded Service",""
"INC0291768","Degraded Service",""
"INC0291767","Degraded Service",""
"INC0291766","Degraded Service",""
"INC0291765","Degraded Service",""
"INC0291764","Degraded Service",""
"INC0291763","Degraded Service",""
"INC0291762","Degraded Service",""
"INC0291761","Information",""
"INC0291760","Degraded Service",""
"INC0291759","Degraded Service",""
"INC0291758","Degraded Service",""
"INC0291757","Degraded Service",""
"INC0291756","Degraded Service",""
"INC0291755","Degraded Service",""
"INC0291754","Degraded Service",""
"INC0291753","Degraded Service",""
"INC0291752","Degraded Service",""
"INC0291751","Degraded Service",""
"INC0291750","Degraded Service",""
"INC0291749","Degraded Service",""
"INC0291748","Degraded Service",""
"INC0291747","Degraded Service",""
"INC0291746","Degraded Service",""
"INC0291745","Degraded Service",""
"INC0291744","Degraded Service",""
"INC0291743","Degraded Service",""
"INC0291742","Degraded Service",""
"INC0291741","Degraded Service",""
"INC0291740","Degraded Service",""
"INC0291739","Degraded Service",""
"INC0291738","Degraded Service",""
"INC0291737","Degraded Service",""
"INC0291736","Degraded Service",""
"INC0291735","Hardware",""
"INC0291734","Hardware",""
"INC0291733","Degraded Service",""
"INC0291732","Degraded Service",""
"INC0291731","Degraded Service",""
"INC0291730","Degraded Service",""
"INC0291729","Degraded Service",""
"INC0291728","Degraded Service",""
"INC0291727","Degraded Service",""
"INC0291726","Degraded Service",""
"INC0291725","Degraded Service",""
"INC0291724","Degraded Service",""
"INC0291723","Data loss / corruption",""
"INC0291722","Access rights",""
"INC0291721","Degraded Service",""
"INC0291720","Information",""
"INC0291719","Degraded Service",""
"INC0291718","Degraded Service",""
"INC0291717","Degraded Service",""
"INC0291716","Degraded Service",""
"INC0291715","Degraded Service",""
"INC0291714","Degraded Service",""
"INC0291713","Degraded Service",""
"INC0291712","Degraded Service",""
"INC0291711","Degraded Service",""
"INC0291710","Degraded Service",""
"INC0291709","Access rights",""
"INC0291708","Assistance",""
"INC0291707","Degraded Service",""
"INC0291705","Degraded Service",""
"INC0291704","Degraded Service",""
"INC0291703","BitLocker",""
"INC0291702","Degraded Service",""
"INC0291701","Degraded Service",""
"INC0291700","Degraded Service",""
"INC0291699","Degraded Service",""
"INC0291698","Assistance",""
"INC0291697","Degraded Service",""
"INC0291696","Degraded Service",""
"INC0291695","Degraded Service",""
"INC0291694","Assistance",""
"INC0291693","Assistance",""
"INC0291692","Account Locked",""
"INC0291691","Assistance",""
"INC0291690","Degraded Service",""
"INC0291689","Degraded Service",""
"INC0291688","Degraded Service",""
"INC0291687","Assistance",""
"INC0291686","Degraded Service",""
"INC0291685","Assistance",""
"INC0291684","Assistance",""
"INC0291683","Degraded Service",""
"INC0291682","Assistance",""
"INC0291681","Degraded Service",""
"INC0291680","Assistance",""
"INC0291679","Degraded Service",""
"INC0291678","Assistance",""
"INC0291676","Degraded Service",""
"INC0291675","Degraded Service",""
"INC0291674","Degraded Service",""
"INC0291673","Assistance",""
"INC0291672","Degraded Service",""
"INC0291671","Degraded Service",""
"INC0291670","Assistance",""
"INC0291669","Assistance",""
"INC0291668","Assistance",""
"INC0291667","Degraded Service",""
"INC0291666","Access rights",""
"INC0291665","Assistance",""
"INC0291664","Degraded Service",""
"INC0291663","Hardware",""
"INC0291662","Degraded Service",""
"INC0291661","Assistance",""
"INC0291660","Degraded Service",""
"INC0291658","Maintenance",""
"INC0291657","Information",""
"INC0291656","Hardware issue",""
"INC0291655","Degraded Service",""
"INC0291654","Data loss / corruption",""
"INC0291653","Degraded Service",""
"INC0291652","Degraded Service",""
"INC0291651","Degraded Service",""
"INC0291649","Assistance",""
"INC0291648","Assistance",""
"INC0291647","Degraded Service",""
"INC0291646","Assistance",""
"INC0291643","Degraded Service",""
"INC0291642","Degraded Service",""
"INC0291641","Degraded Service",""
"INC0291640","Degraded Service",""
"INC0291639","Assistance",""
"INC0291638","Assistance",""
"INC0291637","Degraded Service",""
"INC0291635","Degraded Service",""
"INC0291634","Degraded Service",""
"INC0291633","Assistance",""
"INC0291632","Password loss or expired",""
"INC0291630","Hardware",""
"INC0291629","Hardware",""
"INC0291627","Data loss / corruption",""
"INC0291626","BitLocker",""
"INC0291625","Degraded Service",""
"INC0291624","Degraded Service",""
"INC0291623","Degraded Service",""
"INC0291622","Degraded Service",""
"INC0291621","Degraded Service",""
"INC0291620","BitLocker",""
"INC0291619","BitLocker",""
"INC0291618","Degraded Service",""
"INC0291617","Degraded Service",""
"INC0291616","Degraded Service",""
"INC0291615","Information",""
"INC0291614","BitLocker",""
"INC0291613","BitLocker",""
"INC0291612","Degraded Service",""
"INC0291611","Assistance",""
"INC0291610","Degraded Service",""
"INC0291609","Degraded Service",""
"INC0291608","Assistance",""
"INC0291607","Degraded Service",""
"INC0291606","Degraded Service",""
"INC0291605","Assistance",""
"INC0291604","Degraded Service",""
"INC0291603","Degraded Service",""
"INC0291602","Degraded Service",""
"INC0291601","Assistance",""
"INC0291600","Assistance",""
"INC0291599","Degraded Service",""
"INC0291598","Assistance",""
"INC0291597","Degraded Service",""
"INC0291596","Assistance",""
"INC0291594","Assistance",""
"INC0291593","Degraded Service",""
"INC0291591","Degraded Service",""
"INC0291590","Degraded Service",""
"INC0291589","Assistance",""
"INC0291588","Access rights",""
"INC0291587","Hardware",""
"INC0291586","Assistance",""
"INC0291585","Degraded Service",""
"INC0291584","Degraded Service",""
"INC0291583","Degraded Service",""
"INC0291582","Degraded Service",""
"INC0291581","Degraded Service",""
"INC0291580","Assistance",""
"INC0291579","Degraded Service",""
"INC0291578","Assistance",""
"INC0291577","Assistance",""
"INC0291576","Degraded Service",""
"INC0291575","Degraded Service",""
"INC0291574","Degraded Service",""
"INC0291573","Degraded Service",""
"INC0291572","Assistance",""
"INC0291570","Assistance",""
"INC0291569","Degraded Service",""
"INC0291568","Degraded Service",""
"INC0291567","Degraded Service",""
"INC0291566","Degraded Service",""
"INC0291565","Hardware",""
"INC0291564","Assistance",""
"INC0291563","Degraded Service",""
"INC0291562","Hardware",""
"INC0291561","Degraded Service",""
"INC0291560","Degraded Service",""
"INC0291559","Assistance",""
"INC0291558","Hardware",""
"INC0291557","Degraded Service",""
"INC0291555","Assistance",""
"INC0291554","Hardware",""
"INC0291553","Degraded Service",""
"INC0291552","Assistance",""
"INC0291551","Assistance",""
"INC0291550","Assistance",""
"INC0291549","Access rights",""
"INC0291548","Degraded Service",""
"INC0291547","Assistance",""
"INC0291546","Hardware",""
"INC0291545","Degraded Service",""
"INC0291544","Degraded Service",""
"INC0291543","Assistance",""
"INC0291542","Assistance",""
"INC0291541","Degraded Service",""
"INC0291540","Degraded Service",""
"INC0291539","Hardware issue",""
"INC0291538","Degraded Service",""
"INC0291537","Degraded Service",""
"INC0291536","Degraded Service",""
"INC0291535","Degraded Service",""
"INC0291534","Degraded Service",""
"INC0291533","Degraded Service",""
"INC0291532","Degraded Service",""
"INC0291531","Degraded Service",""
"INC0291530","Degraded Service",""
"INC0291529","Degraded Service",""
"INC0291528","Hardware issue",""
"INC0291527","Degraded Service",""
"INC0291526","BitLocker",""
"INC0291525","Information",""
"INC0291524","Degraded Service",""
"INC0291523","Degraded Service",""
"INC0291522","Degraded Service",""
"INC0291521","Information",""
"INC0291520","Degraded Service",""
"INC0291519","Hardware",""
"INC0291517","Hardware",""
"INC0291516","Degraded Service",""
"INC0291515","Degraded Service",""
"INC0291514","Degraded Service",""
"INC0291513","Hardware",""
"INC0291512","Degraded Service",""
"INC0291511","Degraded Service",""
"INC0291510","Degraded Service",""
"INC0291509","BitLocker",""
"INC0291508","Degraded Service",""
"INC0291507","Degraded Service",""
"INC0291506","Degraded Service",""
"INC0291505","Degraded Service",""
"INC0291504","Information",""
"INC0291503","Degraded Service",""
"INC0291502","Degraded Service",""
"INC0291501","Data loss / corruption",""
"INC0291500","Degraded Service",""
"INC0291499","Degraded Service",""
"INC0291498","Degraded Service",""
"INC0291497","Degraded Service",""
"INC0291496","Degraded Service",""
"INC0291495","Degraded Service",""
"INC0291494","Degraded Service",""
"INC0291493","Degraded Service",""
"INC0291492","Degraded Service",""
"INC0291491","Degraded Service",""
"INC0291490","Degraded Service",""
"INC0291489","Degraded Service",""
"INC0291488","Degraded Service",""
"INC0291487","Degraded Service",""
"INC0291486","Degraded Service",""
"INC0291485","Degraded Service",""
"INC0291484","Degraded Service",""
"INC0291483","Degraded Service",""
"INC0291482","Degraded Service",""
"INC0291481","Degraded Service",""
"INC0291480","Degraded Service",""
"INC0291479","Degraded Service",""
"INC0291478","Degraded Service",""
"INC0291477","Degraded Service",""
"INC0291476","Degraded Service",""
"INC0291475","Degraded Service",""
"INC0291474","Degraded Service",""
"INC0291473","Degraded Service",""
"INC0291472","Degraded Service",""
"INC0291471","Degraded Service",""
"INC0291470","Degraded Service",""
"INC0291469","Degraded Service",""
"INC0291468","Degraded Service",""
"INC0291467","Degraded Service",""
"INC0291466","Degraded Service",""
"INC0291465","Degraded Service",""
"INC0291464","Degraded Service",""
"INC0291463","Information",""
"INC0291462","Degraded Service",""
"INC0291461","Degraded Service",""
"INC0291460","Degraded Service",""
"INC0291459","Degraded Service",""
"INC0291458","Degraded Service",""
"INC0291457","Information",""
"INC0291456","Degraded Service",""
"INC0291455","Degraded Service",""
"INC0291454","Degraded Service",""
"INC0291453","Degraded Service",""
"INC0291452","Degraded Service",""
"INC0291451","Degraded Service",""
"INC0291450","Degraded Service",""
"INC0291449","Degraded Service",""
"INC0291448","Degraded Service",""
"INC0291447","Degraded Service",""
"INC0291446","Degraded Service",""
"INC0291445","Hardware",""
"INC0291444","Information",""
"INC0291443","Degraded Service",""
"INC0291442","Degraded Service",""
"INC0291441","Degraded Service",""
"INC0291440","Degraded Service",""
"INC0291439","Degraded Service",""
"INC0291438","Degraded Service",""
"INC0291437","Degraded Service",""
"INC0291436","Degraded Service",""
"INC0291435","Degraded Service",""
"INC0291434","Degraded Service",""
"INC0291433","Degraded Service",""
"INC0291432","Degraded Service",""
"INC0291431","Degraded Service",""
"INC0291430","Degraded Service",""
"INC0291429","Data loss / corruption",""
"INC0291428","Data loss / corruption",""
"INC0291427","Data loss / corruption",""
"INC0291426","Data loss / corruption",""
"INC0291425","Data loss / corruption",""
"INC0291424","Data loss / corruption",""
"INC0291423","Data management",""
"INC0291422","Degraded Service",""
"INC0291421","Data loss / corruption",""
"INC0291420","Data loss / corruption",""
"INC0291419","Degraded Service",""
"INC0291418","Degraded Service",""
"INC0291417","Data loss / corruption",""
"INC0291416","Information",""
"INC0291415","Data loss / corruption",""
"INC0291414","Degraded Service",""
"INC0291413","Degraded Service",""
"INC0291412","Degraded Service",""
"INC0291411","Degraded Service",""
"INC0291410","Degraded Service",""
"INC0291409","Degraded Service",""
"INC0291408","Data loss / corruption",""
"INC0291407","Degraded Service",""
"INC0291406","Degraded Service",""
"INC0291405","Data loss / corruption",""
"INC0291404","Degraded Service",""
"INC0291403","Degraded Service",""
"INC0291402","Data loss / corruption",""
"INC0291401","Degraded Service",""
"INC0291400","Data loss / corruption",""
"INC0291399","Degraded Service",""
"INC0291398","Degraded Service",""
"INC0291397","Degraded Service",""
"INC0291396","Degraded Service",""
"INC0291395","Restaging",""
"INC0291394","Degraded Service",""
"INC0291393","Degraded Service",""
"INC0291392","Degraded Service",""
"INC0291391","Degraded Service",""
"INC0291390","Degraded Service",""
"INC0291389","Assistance",""
"INC0291388","Assistance",""
"INC0291387","Degraded Service",""
"INC0291386","Degraded Service",""
"INC0291385","Information",""
"INC0291384","Degraded Service",""
"INC0291383","Degraded Service",""
"INC0291382","Data loss / corruption",""
"INC0291381","Degraded Service",""
"INC0291380","Degraded Service",""
"INC0291379","Assistance",""
"INC0291378","Degraded Service",""
"INC0291377","Data loss / corruption",""
"INC0291376","Degraded Service",""
"INC0291375","Degraded Service",""
"INC0291374","Information",""
"INC0291373","Degraded Service",""
"INC0291372","Assistance",""
"INC0291371","Hardware issue",""
"INC0291370","BitLocker",""
"INC0291369","Degraded Service",""
"INC0291368","Degraded Service",""
"INC0291367","Degraded Service",""
"INC0291365","Degraded Service",""
"INC0291364","Degraded Service",""
"INC0291363","Assistance",""
"INC0291362","Information",""
"INC0291361","Data loss / corruption",""
"INC0291360","Degraded Service",""
"INC0291359","Degraded Service",""
"INC0291358","Degraded Service",""
"INC0291357","Degraded Service",""
"INC0291356","Assistance",""
"INC0291355","Assistance",""
"INC0291354","Hardware",""
"INC0291353","Degraded Service",""
"INC0291352","Degraded Service",""
"INC0291351","Degraded Service",""
"INC0291350","Degraded Service",""
"INC0291349","Degraded Service",""
"INC0291347","Degraded Service",""
"INC0291346","Degraded Service",""
"INC0291345","Degraded Service",""
"INC0291344","Degraded Service",""
"INC0291343","Assistance",""
"INC0291342","Degraded Service",""
"INC0291341","Information",""
"INC0291340","Degraded Service",""
"INC0291339","BitLocker",""
"INC0291338","Assistance",""
"INC0291337","Assistance",""
"INC0291336","Access rights",""
"INC0291335","Assistance",""
"INC0291334","Hardware",""
"INC0291333","Degraded Service",""
"INC0291332","Degraded Service",""
"INC0291331","Assistance",""
"INC0291330","Assistance",""
"INC0291329","Assistance",""
"INC0291328","Degraded Service",""
"INC0291327","Degraded Service",""
"INC0291326","Degraded Service",""
"INC0291325","Degraded Service",""
"INC0291324","Assistance",""
"INC0291322","Assistance",""
"INC0291318","Degraded Service",""
"INC0291316","Degraded Service",""
"INC0291315","Degraded Service",""
"INC0291314","Degraded Service",""
"INC0291313","Degraded Service",""
"INC0291312","Degraded Service",""
"INC0291311","Hardware",""
"INC0291310","Degraded Service",""
"INC0291309","Degraded Service",""
"INC0291308","Degraded Service",""
"INC0291307","Assistance",""
"INC0291306","Assistance",""
"INC0291305","Assistance",""
