"sys_id","name","city","state","country","latitude","longitude","parent"
"9860f093ec5fc510078a8ddfae39e07f","Adé","","","","","","Tchad"
"9c60f093ec5fc510078a8ddfae39e07d","Ade Annex","","","","12.843367","45.0390413","Aden"
"d3ebbc72b487be905df6d7bd6a2ce4ec","ADEI - Action Development Education International HQ","Echiolles","","France","","",""
"9060f093ec5fc510078a8ddfae39e079","Aden","","","","12.7965803","45.0369715","Sana'a"
"1c60f093ec5fc510078a8ddfae39e076","Aden Annex 01","","","","0","0","Sana'a"
"5060f093ec5fc510078a8ddfae39e07a","Adigrat","","","","","","Éthiopie"
"dc60f093ec5fc510078a8ddfae39e07a","Adler","","","","","","Russie"
"1060f093ec5fc510078a8ddfae39e07d","Adré","","","","13.464267","22.207833","Abéché"
"1c60f093ec5fc510078a8ddfae39e07e","Adua","","","","","","Éthiopie"
"1c60f093ec5fc510078a8ddfae39e080","Afg Center","","","","34.537805","69.168542","Kabul"
"dc60f093ec5fc510078a8ddfae39e081","Afg Support","","","","38.609297","68.781352","Kabul"
"5e72a3864843b2d074147f6083fe108a","AFGHAN Society of Physical Therapy (AAPT), Wazir Akbar Khan, Kabul HQ","Kabul","","Afghanistan","","",""
"15703c93ec5fc510078a8ddfae39e005","Afghanistan","","","","","","Asia and the Pacific region"
"e5f39474fc6be65057be12e3ce1d881b","Afghanistan","","","","","","Asia and the Pacific region"
"0f34c8bfc9a0e21050402dba9ef4d030","Afghanistan - Mobile","","","","","","Asia and the Pacific region"
"6a70fc93ec5fc510078a8ddfae39e016","Africa region","","","","","",""
"1e70bc93ec5fc510078a8ddfae39e0eb","Afrique du Sud","","","","","","Africa region"
"9060f093ec5fc510078a8ddfae39e083","Afu Support","","","","41.329596","69.292186","Kabul"
"5460f093ec5fc510078a8ddfae39e084","Agadez","","","","16.97737","8.011154","Niamey"
"6d30e3b4950ccf505df6650d2f759dd9","Agence Congolaise de l'Environnement, ACE en sigle HQ","Gom","Nord-Kivu","Democratic Republic of the Congo | Congo","","",""
"1460f093ec5fc510078a8ddfae39e085","Ahwaz","","","","","","Iran"
"9060f093ec5fc510078a8ddfae39e086","Aileu","","","","","","Timor-Leste"
"1060f093ec5fc510078a8ddfae39e087","Ainaro","","","","","","Timor-Leste"
"a7c7a694fda9b610edc289db3dffa648","Airline Training Associates Limited HQ","London","London","United Kingdom","","",""
"9c60f093ec5fc510078a8ddfae39e087","Akaraipattu","","","","","","Sri Lanka"
"a56eadcdb8813250b210c32041dcbb55","AKINA ZAJI SAUDA CONEXION DE MUJERES NEGRAS HQ","Cali","","Colombia | Colombie","","",""
"1060f093ec5fc510078a8ddfae39e089","Akobo","","","","7.775386","32.999143","Juba"
"dc60f093ec5fc510078a8ddfae39e089","Akoka","","","","9.739047","32.173414","Malakal"
"5c60f093ec5fc510078a8ddfae39e08a","Akon","","","","","","Soudan"
"0be8fb3731a2b210f7c444219b9d3b56","Al Batoul Hospital HQ","","","Lebanon","","",""
"048661fcf9ab7e905df65898443339b7","Al Deain Teaching Hospital HQ","Al Deain","East Darfur","Sudan | Soudan","","",""
"7048537f3122721048eea38ff0b6c99b","Al Ektifa’a Multipurpose Agricultural Cooperative Association HQ","Al-Marawi'ah","Al Hudaydah","Yemen | Yémen","","",""
"0636adec8444cb90edc2850207094fba","Al Faw Teaching Hospital HQ","Al Faw","Al Gadaref","Sudan | Soudan","","",""
"1060f093ec5fc510078a8ddfae39e091","Al Kut","","","","","","Irak"
"6870b893ec5fc510078a8ddfae39e047","Al Mukha","","","","13.3219112","43.25248","Sana'a"
"e8e8773731a2b210f7c444219b9d3bf0","Al Raee Hospital HQ","Saida","","Lebanon","","",""
"2635f46ac8b6f6507414892be441fd56","Al-Abdiyah Rural Hospital HQ","Marib","Al-Abdiyah","Yemen | Yémen","","",""
"1c60f093ec5fc510078a8ddfae39e08d","Al-fashir","","","","","","Soudan"
"4170f893ec5fc510078a8ddfae39e073","Al-fashir","","","","13.638177","25.330313","Khartoum"
"5060f093ec5fc510078a8ddfae39e090","Al-junaina","","","","13.447472","22.445846","Khartoum"
"9460f093ec5fc510078a8ddfae39e095","Al-zaatari","","","","32.3013864","36.3298486","Amman"
"8a3e85f037d0200044e0bfc8bcbe5d0d","Alabama","Alabama","","USA","32.3182314","-86.902298","North America"
"99703c93ec5fc510078a8ddfae39e007","Albanie","","","","","","Europe and Central Asia region"
"1060f093ec5fc510078a8ddfae39e093","Aleppo","","","","36.21257","37.14109","Damascus"
"9c60f093ec5fc510078a8ddfae39e08c","Alexandria","","","","0","0","Cairo"
"f270d0fcfc2be65057be12e3ce1d880b","Algeria","","","","","","Africa region"
"6d703c93ec5fc510078a8ddfae39e0cb","Algérie","","","","","","Africa region"
"9c60f093ec5fc510078a8ddfae39e08e","Algiers","","","","36.755313","3.04731","Algiers"
"7a70d0fcfc2be65057be12e3ce1d883d","Algiers (regional)","","","","","","Africa region"
